LTF Date,LTF Entry Time,LTF Exit Time,LTF Entry,LTF Zone Low,LTF Target,LTF Exit Price,Exit,P&L (Rs),Cumulative P&L,HTF Ref Bar,HTF Trap Bar,HTF Zone High,HTF Zone Low,HTF Target
03 Jun 26,15:05,15:25,471.8,395.25,538.05,446.8,SQUAREOFF,-1625,-1625,01 Jun 26 13:00,02 Jun 26 13:00,472.6,450.85,538.05
04 Jun 26,13:10,14:10,365,330.05,423.45,423.45,TARGET,3799.25,2174.25,02 Jun 26 10:30,02 Jun 26 13:00,372,370,423.45
05 Jun 26,14:15,15:25,351.75,336.5,450,375.1,SQUAREOFF,1517.75,3692,04 Jun 26 11:45,04 Jun 26 14:15,395.75,348.75,450
05 Jun 26,11:05,14:15,447.5,433,617.95,351.75,SL,-6223.75,-2531.75,02 Jun 26 10:30,03 Jun 26 09:15,540.85,464.6,617.95
05 Jun 26,11:05,14:15,447.5,433,614.5,351.75,SL,-6223.75,-8755.5,03 Jun 26 13:00,04 Jun 26 13:00,512.45,464.2,614.5
05 Jun 26,11:10,13:45,471.65,447.4,605,605,TARGET,8667.75,-87.75,04 Jun 26 09:15,04 Jun 26 13:00,500.65,485,605
10 Jun 26,14:15,15:25,592,564.95,708.65,690.7,SQUAREOFF,6415.5,6327.75,08 Jun 26 10:30,08 Jun 26 13:00,678.95,626.7,708.65
11 Jun 26,11:45,13:10,189.05,167.35,303.9,617.15,SL,27826.5,34154.25,08 Jun 26 13:00,10 Jun 26 09:15,235.25,200.1,303.9
11 Jun 26,14:25,15:25,176.5,162.5,243,151,SQUAREOFF,-1657.5,32496.75,09 Jun 26 09:15,09 Jun 26 14:15,201,177.35,243
11 Jun 26,11:40,13:10,179.3,165.65,256,617.15,SL,28460.25,60957,09 Jun 26 14:15,10 Jun 26 10:30,205.15,186.6,256
11 Jun 26,13:10,14:25,617.15,597.5,780.65,176.5,SL,-28642.25,32314.75,08 Jun 26 14:15,11 Jun 26 09:15,690,645.3,780.65
11 Jun 26,13:10,14:25,624.05,597.5,765.4,176.5,SL,-29090.75,3224,09 Jun 26 10:30,11 Jun 26 09:15,706,653.85,765.4
12 Jun 26,13:40,15:00,323.6,314,490,279.75,SL,-2850.25,373.75,01 Jun 26 14:15,02 Jun 26 11:45,450.85,347.25,490
12 Jun 26,13:35,14:45,291.6,221.1,439.1,439.1,TARGET,9587.5,9961.25,03 Jun 26 09:15,03 Jun 26 13:00,333.75,313,439.1
12 Jun 26,09:30,10:55,277.1,221.1,347.15,536,SL,16828.5,26789.75,03 Jun 26 10:30,03 Jun 26 13:00,313,294.85,347.15
12 Jun 26,13:25,13:35,216,207,314.55,447.5,SL,15047.5,41837.25,08 Jun 26 11:45,10 Jun 26 10:30,260,235.25,314.55
12 Jun 26,10:20,10:55,231.25,221.1,324,536,SL,19808.75,61646,10 Jun 26 10:30,10 Jun 26 13:00,259.1,255.5,324
12 Jun 26,13:25,13:35,215.75,211.65,331.6,447.5,SL,15063.75,76709.75,10 Jun 26 13:00,12 Jun 26 13:00,237.7,178.35,331.6
12 Jun 26,13:25,13:35,215.75,211.65,305.95,447.5,SL,15063.75,91773.5,12 Jun 26 09:15,12 Jun 26 13:00,221.1,219.05,305.95
12 Jun 26,13:25,13:30,215.75,211.65,251.85,251.85,TARGET,2346.5,94120,12 Jun 26 10:30,12 Jun 26 13:00,219.05,196,251.85
12 Jun 26,15:00,15:10,279.75,267.7,307.6,307.6,TARGET,1810.25,95930.25,25 May 26 10:30,27 May 26 09:15,292.75,292.6,307.6
12 Jun 26,15:05,15:25,285.45,271.9,311.5,275.8,SQUAREOFF,-627.25,95303,25 May 26 11:45,29 May 26 13:00,292.6,283.5,311.5
12 Jun 26,13:35,13:40,447.5,433,610.7,323.6,SL,-8053.5,87249.5,02 Jun 26 11:45,03 Jun 26 09:15,464.6,409.9,610.7
12 Jun 26,12:05,13:25,540.05,524,713.85,216,SL,-21063.25,66186.25,03 Jun 26 10:30,08 Jun 26 09:15,659.7,570.25,713.85
12 Jun 26,13:25,13:35,487.1,486.95,740.25,291.6,SL,-12707.5,53478.75,03 Jun 26 11:45,08 Jun 26 09:15,570.25,512.45,740.25
12 Jun 26,13:25,13:35,509.35,460,614.55,291.6,SL,-14153.75,39325,04 Jun 26 13:00,08 Jun 26 09:15,517.85,465,614.55
12 Jun 26,13:35,13:40,458.3,440.7,525,323.6,SL,-8755.5,30569.5,04 Jun 26 14:15,05 Jun 26 10:30,465,433,525
12 Jun 26,10:55,13:25,536,460,609,216,SL,-20800,9769.5,05 Jun 26 13:00,08 Jun 26 09:15,537.8,484.95,609
12 Jun 26,12:15,13:25,586,567.8,695,216,SL,-24050,-14280.5,09 Jun 26 13:00,10 Jun 26 14:15,654.2,592,695
12 Jun 26,11:50,13:25,525.45,514.05,680,216,SL,-20114.25,-34394.75,09 Jun 26 14:15,10 Jun 26 14:15,592,534.9,680
12 Jun 26,13:25,13:35,487.1,486.95,679.6,291.6,SL,-12707.5,-47102.25,10 Jun 26 09:15,10 Jun 26 14:15,534.9,504.3,679.6
12 Jun 26,13:25,13:35,487.1,486.95,580,291.6,SL,-12707.5,-59809.75,10 Jun 26 11:45,10 Jun 26 14:15,507.55,487.45,580
12 Jun 26,13:15,13:25,552.9,546.1,737.85,216,SL,-21898.5,-81708.25,11 Jun 26 10:30,11 Jun 26 14:15,647.35,582.7,737.85
12 Jun 26,12:05,13:25,540.05,524,649.4,216,SL,-21063.25,-102771.5,11 Jun 26 11:45,11 Jun 26 14:15,582.7,567.8,649.4
29 May 26,10:05,13:10,230,224.75,302.15,302.15,TARGET,4689.75,-98081.75,25 May 26 13:00,26 May 26 14:15,283.5,230.55,302.15
